position,title,artist,year,month,day
1,let the bass kick in miami girl,chuckie & lmfao,2010,1,3
2,sexy chick,david guetta ft akon,2010,1,3
4,bonkers,dizzee rascal/van helden,2010,1,3
8,i'm not alone,calvin harris,2010,1,3
11,day 'n' nite,kid cudi vs crookers,2010,1,3
12,dance wiv me,dizzee rascal/harris/chrome,2010,1,3
14,you got the love,source ft candi staton,2010,1,3
19,release me,agnes,2010,1,3
32,take me back,tinchy stryder ft taio cruz,2010,1,3
34,satisfaction,benny benassi pts the biz,2010,1,3
1,riverside (let's go),sidney samson ft wizard sleeve,2010,1,10
8,all i ever wanted,basshunter,2010,1,10
12,now you're gone,basshunter ft dj mental theo,2010,1,10
18,riverside,xnrg ft alex k,2010,1,10
24,move for me,kaskade & deadmau5,2010,1,10
26,call on me,eric prydz,2010,1,10
29,rhythm is a dancer '08,snap,2010,1,10
37,every morning,basshunter,2010,1,10
39,dont stop believing,weekend warriors,2010,1,10
2,take that,wiley & chew fu,2010,1,17
8,cruel intentions,simian mobile disco,2010,1,17
9,evacuate the dancefloor,cascada,2010,1,17
21,warrior's dance,prodigy,2010,1,17
40,don't stop believing,weekend warriors,2010,1,17
4,could this be real,sub focus,2010,1,24
13,strobe,deadmau5,2010,1,31
16,silvia,miike snow,2010,1,31
33,freak me,another level,2010,1,31
38,angel echoes,four tet,2010,1,31
39,starz in their eyes,just jack,2010,1,31
4,one life stand,hot chip,2010,2,7
6,sweet harmony,danny byrd ft liquid,2010,2,7
40,ready for the floor,hot chip,2010,2,7
3,you used to hold me,calvin harris,2010,2,14
4,wile out,dj zinc ft ms dynamite,2010,2,14
12,paradise circus,massive attack,2010,2,14
26,dance with me,debelah morgan,2010,2,14
1,won't go quietly,example,2010,2,21
5,no superstar,remady,2010,2,21
7,feel it,three 6 mafia/tiesto/kingston,2010,2,21
28,black & gold,sam sparro,2010,2,21
38,dirty cash,adventures of stevie v,2010,2,21
38,sincere,matthew james/firth coleman,2010,2,28
1,why don't you,gramophonedzie,2010,3,7
21,paper romance,groove armada,2010,3,7
1,rock that body,black eyed peas,2010,3,14
3,i'm in the house,steve aoki ft zuper blahq,2010,3,14
28,superfast jellyfish,gorillaz,2010,3,14
16,halcyon,delphic,2010,3,21
6,only man,audio bullys,2010,3,28
11,who wants to be alone,tiesto ft nelly furtado,2010,3,28
30,for an angel,paul van dyk,2010,3,28
39,raindrops (encore une fois),sash ft stunt,2010,3,28
10,who wants to be alone,tiesto,2010,4,4
30,r u ready,drumsound & bassline smith,2010,4,4
1,hot,inna,2010,4,11
2,memories,david guetta ft kid cudi,2010,4,11
7,got to be real,cheryl lynn,2010,4,11
8,mic check,hadouken,2010,4,11
11,history,groove armada,2010,4,11
26,stand up,prodigy,2010,4,11
10,set you free,n-trance,2010,4,18
19,pon de floor,major lazer,2010,4,18
20,ride on time,black box,2010,4,18
37,you're not alone,olive,2010,4,18
1,acapella,kelis,2010,4,25
10,stop and stare,fenech soler,2010,4,25
12,i feel better,hot chip,2010,4,25
13,as the rush comes,motorcycle,2010,4,25
14,daydreaming,kid sister,2010,4,25
29,odessa,caribou,2010,4,25
32,take me away into the night,4 strings,2010,4,25
35,pretty green eyes vs feelin fine,ultrabeat,2010,4,25
11,on my own,blame ft ruff sqwad,2010,5,2
12,woo boost,rusko,2010,5,2
13,come back,chicane,2010,5,2
16,innocence/electron,nero,2010,5,2
19,barber's adagio for strings,william orbit,2010,5,2
20,all this time,bebe vox ft ad-apt,2010,5,2
35,vogue,madonna,2010,5,2
40,sweet harmony,beloved,2010,5,2
5,not going home,faithless,2010,5,9
6,in the air,tv rock ft rudy,2010,5,9
8,pyromania,cascada,2010,5,9
13,freak,estelle ft kardinal offishall,2010,5,9
18,propane nightmares,pendulum,2010,5,9
25,where's my money,tc,2010,5,9
5,crush,fugative,2010,5,16
7,splash,sub focus,2010,5,16
1,good times,roll deep,2010,5,23
10,on & on,agnes,2010,5,23
12,umbrella beach,owl city,2010,5,23
26,go go go,lethal bizzle/nick bridges,2010,5,23
1,stereo love,edward maya ft vika jigulina,2010,5,30
6,better than love,hurts,2010,5,30
13,insomnia 2005,faithless,2010,5,30
26,skills,beatbullyz,2010,5,30
31,god is a dj,faithless,2010,5,30
1,gettin' over,david guetta ft chris willis,2010,6,13
3,world in motion,new order,2010,6,13
15,beggin',frankie valli/the four seasons,2010,6,13
16,omen,prodigy,2010,6,13
20,carnaval de paris,dario g,2010,6,13
25,hold on,rusko,2010,6,13
26,heaven,dj sammy and yanou ft do,2010,6,13
32,add suv,uffie ft pharrell williams,2010,6,13
37,hold on,amber coffman,2010,6,13
39,from paris to berlin,infernal,2010,6,13
1,kickstarts,example,2010,6,20
3,dancing on my own,robyn,2010,6,20
11,hey hey,dennis ferrer,2010,6,20
12,swoon,chemical brothers,2010,6,20
31,add suv,uffie ft pharrell,2010,6,20
33,tweak your nipple,faithless,2010,6,20
6,tenderoni,kele,2010,6,27
27,just a little more love,david guetta & joachim garraud,2010,6,27
31,stereo love,pj ft velvet,2010,6,27
37,don't stop me,orbital,2010,6,27
2,commander,kelly rowland ft david guetta,2010,7,4
5,we no speak americano,marco calliari,2010,7,4
7,chica bomb,dan balan,2010,7,4
18,hold on,rusko ft amber coffman,2010,7,4
20,hot hot hot,dee-lux,2010,7,4
27,we can't fly,aeroplane,2010,7,4
32,scribble,underworld,2010,7,4
34,superstylin',groove armada,2010,7,4
6,4th of july (fireworks),kelis,2010,7,11
19,children,robert miles,2010,7,18
39,bullet in the gun,planet perfecto,2010,7,18
5,saturday,basshunter,2010,7,25
16,baptism,crystal castles,2010,7,25
39,it's like that,run dmc vs jason nevins,2010,7,25
1,we no speak americano,yolanda be cool vs d cup,2010,8,1
2,one (your name),swedish house mafia/pharrell,2010,8,1
3,i need air,magnetic man ft angela hunte,2010,8,1
9,bad girl,fugative,2010,8,1
13,on melancholy hill,gorillaz,2010,8,1
21,i'm fly,donae'o,2010,8,1
33,dub be good to me,beats international,2010,8,1
37,dreamer,livin' joy,2010,8,1
26,middledistancerunner,chicane ft adam young,2010,8,8
3,in my system,tinchy stryder,2010,8,15
12,i think i like it,fake blood,2010,8,15
36,the drug,royksopp,2010,8,15
3,let you go,chase & status ft mali,2010,8,22
5,amazing,inna,2010,8,22
13,love never dies (back for the first),caspa & mr hudson,2010,8,22
17,everything you wanted,kele,2010,8,22
18,spaceship,benny benassi/kelis/apl de ap,2010,8,22
20,believer,freemasons ft wynter gordon,2010,8,22
23,feeling good,faithless,2010,8,22
35,fancy footwork,chromeo,2010,8,22
27,not giving up on love,armin van buuren vs sophie,2010,8,29
33,arguru,deadmau5,2010,8,29
1,club can't handle me,flo rida ft david guetta,2010,9,5
38,what you talking about,redlight ft ms dynamite,2010,9,5
1,katy on a mission,katy b,2010,9,12
30,feelin good,faithless,2010,9,12
5,alors on danse,stromae,2010,9,19
7,last ones standing,example,2010,9,19
17,coma cat,tensnake,2010,9,19
20,nothing but love,axwell ft errol reid,2010,9,19
24,she's killing me,dotstar,2010,9,19
30,day & night,toxic funk berry,2010,9,19
36,till tonight,laidback luke,2010,9,19
2,i'm in love (i wanna do it),alex gaudino,2010,10,3
7,ill behaviour,danny byrd ft i-kay,2010,10,3
27,moonwalker,danny byrd,2010,10,3
1,miami 2 ibiza,swedish house mafia vs tinie,2010,10,10
21,louder,katy b,2010,10,10
19,crossover,magnetic man ft katy b,2010,10,17
27,give a little love,rockcorps allstars,2010,10,17
20,mecha love,hadouken,2010,10,24
3,seek bromance,tim berg,2010,10,31
37,in and out of love,armin van buuren/sharon den,2010,10,31
1,barbra streisand,duck sauce,2010,11,7
10,sofi needs a ladder,deadmau5,2010,11,7
22,from the drop,mj cole & wiley,2010,11,7
29,deeper underground,jamiroquai,2010,11,7
31,on a good day (metropolis),above & beyond & gareth emery,2010,11,7
37,space cowboy,jamiroquai,2010,11,7
38,cosmic girl,jamiroquai,2010,11,7
8,deja vu,inna ft bob taylor,2010,11,14
13,some chords,deadmau5,2010,11,14
23,in and out of love,armin van buuren ft den adel,2010,11,14
36,this is my life,edward maya,2010,11,14
1,the time (dirty bit),black eyed peas,2010,11,21
2,game over,tinchy stryder ft chipmunk,2010,11,21
10,two lives,example,2010,11,21
13,right this second,deadmau5,2010,11,21
32,household goods,totally enormous extinct,2010,11,21
13,bad selection,deadmau5,2010,11,28
37,atlas air ep,massive attack,2010,11,28
3,take over control,afrojack ft eva simons,2010,12,5
11,lassitude,sigma & dj fresh,2010,12,5
36,love you long time,black eyed peas,2010,12,5
13,raise your weapon,deadmau5,2010,12,12
15,we can have it all,danny byrd,2010,12,12
17,show me love,robin s,2010,12,12
21,indestructible,robyn,2010,12,12
32,the game has changed,daft punk,2010,12,12
4,my feelings for you,avicii & sebastien drums,2010,12,19
11,animal rights,deadmau5 & wolfgang gartner,2010,12,19
14,here with me,dido,2010,12,19
18,derezzed,daft punk,2010,12,19
25,dracula,basement jaxx,2010,12,19
26,slang like this,true tiger ft p money,2010,12,26
34,chase the sun,planet funk,2010,12,26
38,let it rain,melanie fiona,2010,12,26
36,brrrat,armand van helden & steve aoki,2011,1,9
38,cmyk ep,james blake,2011,1,9
3,me and you,nero,2011,1,16
35,cracks,freestylers,2011,1,16
17,raver,shy fx/kano/donae'o/roses,2011,1,23
26,to build a home,cinematic orchestra,2011,1,23
27,oxygen ep,hadouken,2011,1,23
3,let it rain,tinchy stryder/melanie fiona,2011,1,30
24,cotton eye joe,rednex,2011,1,30
32,c'mon,tiesto vs diplo,2011,1,30
4,let it rain,tinchy stryder ft fiona,2011,2,6
7,hypest hype,chase & status ft tempa t,2011,2,6
9,teardrop,massive attack,2011,2,6
31,no problem,chase & status,2011,2,6
33,you spin me round,dead or alive,2011,2,6
1,blind faith,chase & status ft liam bailey,2011,2,13
6,feel good,modestep,2011,2,13
7,niton (the reason),eric prydz,2011,2,13
11,tonight,danny byrd ft netsky,2011,2,13
2,hello,martin solveig & dragonette,2011,2,20
23,pulse & thunder,day v lately,2011,2,20
30,gettin' over you,david guetta ft chris willis,2011,2,20
1,who's that chick,david guetta ft rihanna,2011,2,27
4,cmon (catch em by surprise),tiesto vs diplo/busta rhymes,2011,2,27
6,i heart u so,cassius,2011,2,27
7,getting nowhere,magnetic man ft john legend,2011,2,27
28,not giving up on love,van buuren vs ellis-bextor,2011,2,27
4,fighting fire,breakage ft jess mills,2011,3,6
32,ultimate nrg5 massive mix,alex k,2011,3,6
1,c'mon (catch 'em by surprise),tiesto vs diplo/busta rhymes,2011,3,13
27,love shack,b-52's,2011,3,13
28,sweat,snoop dogg vs david guetta,2011,3,13
38,ultimate nrg 5 - mixed by alex k,various artists,2011,3,13
1,just can't get enough,black eyed peas,2011,3,20
19,zero 76,tiesto ft hardwell,2011,3,20
25,don't you want me,human league,2011,3,20
37,true faith/regret,new order,2011,3,20
2,sweat,snoop dogg,2011,3,27
8,bass cannon,flux pavilion,2011,3,27
11,sun & moon,above & beyond/richard bedford,2011,3,27
13,2gether,sanchez/far east/kanobby,2011,3,27
35,falling,distance,2011,3,27
3,broken record,katy b,2011,4,3
9,civilization,justice,2011,4,3
13,hey (nah nah nah),milk & sugar vs vaya con dios,2011,4,3
24,lotus flower,radiohead,2011,4,3
28,fabrication,emalkay,2011,4,3
39,never gonna let you go,tina moore,2011,4,3
18,everyday,rusko,2011,4,10
37,come with me,special d,2011,4,10
39,toca's miracle 2008,fragma,2011,4,10
22,castles in the sky,ian van dahl,2011,4,17
37,cafe del mar,energy 52,2011,4,17
1,party rock anthem,lmfao/lauren bennett/goonrock,2011,4,24
14,adagio for strings,tiesto,2011,4,24
19,together,herve,2011,4,24
25,dirty talk,paulette,2011,4,24
26,stop and stare,fenech-soler,2011,4,24
39,freak,drumsound & bassline smith,2011,4,24
6,dirty talk,wynter gordon,2011,5,1
15,pon de floor,major lazer/v kartel/afrojack,2011,5,1
39,clubbed to death,rob dougan,2011,5,1
6,time,chase & status ft delilah,2011,5,8
2,where them girls at,david guetta/flo rida/minaj,2011,5,15
5,sun is up,inna,2011,5,15
10,19,paul hardcastle,2011,5,15
13,take it back,toddla t ft shola ama & j2k,2011,5,15
16,open your eyes,alex metric & steve angello,2011,5,15
2,beautiful people,chris brown ft benny benassi,2011,5,22
26,btstu,jai paul,2011,5,22
40,he's a pirate,klaus badelt,2011,5,22
5,save the world,swedish house mafia,2011,5,29
14,take it back,toddla t ft shola ame & j2k,2011,5,29
1,mr saxobeat,alexandra stan,2011,6,5
3,what a feeling,alex gaudino ft kelly rowland,2011,6,5
39,lady (hear me tonight),modjo,2011,6,5
23,bow chicka wow wow,mike posner ft lil wayne,2011,6,12
28,far nearer,jamie xx,2011,6,12
40,all fall down,camo & krooked ft shaz sparks,2011,6,12
2,bounce,calvin harris ft kelis,2011,6,19
10,easy please me,katy b,2011,6,19
15,in the air,true tiger ft professor green,2011,6,19
25,thing called love,above & beyond/richard bedford,2011,6,19
31,mr saxobeat,mr saxobeat,2011,6,19
38,tetris,doctor p,2011,6,19
6,don't stop the party,black eyed peas,2011,6,26
15,san francisco,cascada,2011,6,26
35,wildfire,sbtrkt,2011,6,26
1,changed the way you kiss me,example,2011,7,3
13,ready 2 go,martin solveig ft kele,2011,7,3
16,turbulence,laidback luke & steve aoki,2011,7,10
18,freedom for palestine,oneworld,2011,7,10
20,bounce n boom,box bottom ft big babba,2011,7,10
30,illmerica,wolfgang gartner,2011,7,10
1,louder,dj fresh ft sian evans,2011,7,17
9,champagne showers,lmfao/natalia kills,2011,7,24
28,anthemic,magnetic man,2011,7,24
40,party rock anthem,party rock anthem,2011,7,24
11,hitz,chase & status ft tinie tempah,2011,7,31
12,anthemic,magnetic man ft p money,2011,7,31
10,masterchef synesthesia,swede mason,2011,8,7
40,porcelain,moby,2011,8,7
1,promises,nero,2011,8,14
2,little bad girl,david guetta/cruz/ludacris,2011,8,14
6,cinema,benny benassi ft gary go,2011,8,14
20,stronger,morillo/thoneick/taylor,2011,8,14
26,bear hug,2 bears,2011,8,14
1,heaven,emeli sande,2011,8,21
5,sunlight,modestep,2011,8,21
22,lunar,david guetta/afrojack,2011,8,21
29,buffalo stance,neneh cherry,2011,8,21
9,night of your life,david guetta/jennifer hudson,2011,8,28
1,stay awake,example,2011,9,4
24,crank it up,david guetta ft akon,2011,9,4
28,repeat,david guetta ft jessie j,2011,9,4
32,witches brew,katy b,2011,9,4
33,loca people,cover nation,2011,9,4
21,shot yourself in the foot again,example & skream,2011,9,11
9,bounce 'n' boom,box bottom ft big babba,2011,9,18
20,ruffneck (full flex),skrillex,2011,9,18
24,good love,devolution,2011,9,18
26,can't stop moving,sonny j,2011,9,18
1,feel so close,calvin harris,2011,9,25
7,cry (just a little),bingo players,2011,9,25
9,gabriel,joe goddard ft valentina,2011,9,25
22,one day,lmfao,2011,9,25
25,blue monday,new order,2011,9,25
31,crazy people,sensato/pitbull/sak noel,2011,9,25
1,loca people,sak noel,2011,10,2
15,la musica (the trumpeter),ray foxx ft lovelle,2011,10,2
35,around the world harder better faster st,daft punk,2011,10,2
1,we found love,rihanna ft calvin harris,2011,10,9
12,we found love,cover girl,2011,10,9
33,fade into darkness,avicii,2011,10,9
9,forever,wolfgang gartner ft will i am,2011,10,16
22,here comes the hotstepper,ini kamoze,2011,10,16
6,crush on you,nero,2011,10,23
7,natural disaster,example vs laidback luke,2011,10,23
23,garden,totally enormous extinct,2011,10,23
39,true love fantasy,unicorn kid ft talk to animals,2011,10,23
4,you make me feel,cobra starship ft sabi,2011,10,30
11,the wave,sneakbo,2011,10,30
28,playing in the shadows,example,2011,10,30
9,the first note is silent,high contrast/tiesto/under,2011,11,6
15,big bad wolf,duck sauce,2011,11,6
30,out of control,mike delinquent project & kcat,2011,11,6
2,without you,david guetta ft usher,2011,11,13
5,off the record,tinchy stryder/calvin harris,2011,11,13
9,to the stars,modestep,2011,11,13
27,aural psynapse,deadmau5,2011,11,13
29,heaven,dj sammy & yanou ft do,2011,11,13
4,danza kuduro,lucenzo & qwote,2011,11,20
5,no beef,afrojack & steve aoki,2011,11,20
10,anticipate,skream ft sam frank,2011,11,20
20,levels,dj dizzy,2011,11,20
37,shake,little boots,2011,11,20
3,down for whatever,kelly rowland ft the wavs,2011,11,27
14,flashing lights,chase & status ft sub focus,2011,12,4
16,pressure,nadia ali/starkillers/kenji,2011,12,4
5,midnight run,example,2011,12,11
7,superbad,flux pavilion & doctor p,2011,12,18
9,internet friends,knife party,2011,12,18
1,levels,avicii,2011,12,25
8,get back (asap),alexandra stan,2011,12,25
9,reaching out,nero,2011,12,25
38,enjoy the silence,depeche mode,2011,12,25
2,sexy and i know it,lmfao,2012,1,1
22,scary monsters and nice sprites,skrillex,2012,1,1
7,rapture,nadia ali,2012,1,8
25,sandstorm,darude,2012,1,8
6,breakn' a sweat,skrillex & the doors,2012,1,15
25,kyoto,skrillex ft sirah,2012,1,15
38,first of the year,skrillex,2012,1,15
39,hold on,sbtrkt,2012,1,15
7,96 f**kries,jme,2012,1,22
10,light up (the world),yasmin ft shy fx & ms dynamite,2012,1,22
30,give & take,netsky,2012,1,22
34,hot right now,cover pop,2012,1,22
37,neon,doctor p ft jenna g,2012,1,22
16,all the things she said,tatu,2012,1,29
21,baby cakes,3 of a kind,2012,1,29
28,hey boy hey girl,chemical brothers,2012,1,29
2,antidote,swedish house mafia/knifeparty,2012,2,5
16,who knows,youngman,2012,2,5
4,get out my head,redlight,2012,2,12
13,i'm day dreaming,redd/akon/snoop dogg,2012,2,12
28,hot right now,monster hitz,2012,2,12
4,i wanna dance with somebody,whitney houston,2012,2,19
12,it's not right but it's okay,whitney houston,2012,2,19
20,step by step,whitney houston,2012,2,19
21,big in japan,martin solveig & dragonette,2012,2,19
33,heartbreak hotel,whitney houston/evans/price,2012,2,19
37,nightcall,kavinsky,2012,2,19
31,maths,deadmau5,2012,2,26
37,tenderly,disclosure,2012,2,26
5,icarus,madeon,2012,3,4
7,what can you do for me,utah saints/drumsound/bassline,2012,3,4
13,led astray,friction,2012,3,4
36,titanium,ibiza bassheads,2012,3,4
1,hot right now,dj fresh ft rita ora,2012,3,11
20,i can't stop,flux pavilion,2012,3,11
25,must be the feeling,nero,2012,3,11
27,electrify,jakwob ft jetta,2012,3,11
1,elephant,alexandra burke/erick morillo,2012,3,18
17,paddling out,miike snow,2012,3,18
27,we're all no one,nervo ft afrojack & steve aoki,2012,3,18
1,titanium,david guetta ft sia,2012,3,25
33,one look,david tort ft gosha,2012,3,25
2,turn me on,david guetta ft nicki minaj,2012,4,1
8,fever,b traits ft elisabeth troy,2012,4,1
17,pretty green eyes,ultrabeat,2012,4,1
31,somebody to love,rusko,2012,4,1
20,everytime we touch,cascada,2012,4,8
22,climax,usher tribute team,2012,4,8
3,blackout,breathe carolina,2012,4,15
5,sorry for party rocking,lmfao,2012,4,22
15,too close,dubstep re-mix squad,2012,4,22
1,let's go,calvin harris ft ne-yo,2012,4,29
3,greyhound,swedish house mafia,2012,4,29
22,when the rain is gone,adam f,2012,4,29
28,fire inside,gemini ft greta svabo bech,2012,4,29
5,out the blue,sub focus ft alice gold,2012,5,6
9,daydreamer,flux pavilion,2012,5,6
23,movin' too fast,artful dodger & romina johnson,2012,5,6
24,rip,drum & bass remixers,2012,5,6
39,imagine,shola ama,2012,5,6
6,all i know,matrix/futurebound/bingham,2012,5,13
12,show me a sign,modestep,2012,5,13
16,the veldt,deadmau5,2012,5,13
22,good luck,basement jaxx ft lisa kekaula,2012,5,13
29,heads high,mr vegas,2012,5,13
9,i feel love,donna summer,2012,5,20
23,state of independence,donna summer,2012,5,20
1,where have you been,rihanna,2012,5,27
3,bangarang,skrillex ft sirah,2012,5,27
5,the night out,martin solveig,2012,5,27
24,come alive,netsky,2012,5,27
2,euphoria,loreen,2012,6,3
4,calling (lose my mind),sebastian ingrosso/alesso,2012,6,3
24,groove is in the heart,deee-lite,2012,6,3
37,get by,delta heavy,2012,6,3
8,is this love,aiden grimshaw,2012,6,10
14,rage valley,knife party,2012,6,10
33,can't get you out of my head,kylie minogue,2012,6,10
39,boiling,disclosure ft sinead harnett,2012,6,10
2,the power,dj fresh ft dizzee rascal,2012,6,17
14,we own the night,tiesto & wolfgang gartner,2012,6,17
